nama_sample,ph_label,ppm_label,status_air,kelayakan,jenis_air,raw_ph,volt_ph,raw_tds,volt_tds,comp_volt_tds,raw_turb,volt_turb,ntu_sensor,suhu
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,48904.40,2.4626,13295.60,0.6695,0.6156,2162,1.7423,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,48826.00,2.4586,14033.30,0.7066,0.6498,2156,1.7374,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,48893.20,2.4620,13783.70,0.6941,0.6382,2163,1.7431,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,48859.50,2.4603,13590.00,0.6843,0.6293,2161,1.7415,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,48573.10,2.4459,14319.80,0.7211,0.6631,2163,1.7431,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,48505.80,2.4425,14771.20,0.7438,0.6840,2161,1.7415,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,48611.50,2.4478,14159.80,0.7130,0.6556,2163,1.7431,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,48629.00,2.4487,13465.20,0.6780,0.6235,2171,1.7495,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,48507.40,2.4426,14334.10,0.7218,0.6637,2162,1.7423,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,48958.70,2.4653,14674.90,0.7390,0.6787,2161,1.7415,0.00,29.44
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,49025.90,2.4687,13604.40,0.6850,0.6299,2178,1.7552,0.00,29.38
